symbol,company,isin,sector
ARKADE,Arkade Developers Limited,INE0QRL01017,UNKNOWN
ARMANFIN,Arman Financial Services Limited,INE109C01017,UNKNOWN
AROGRANITE,Aro Granite Industries Limited,INE210C01013,UNKNOWN
ARROWGREEN,Arrow Greentech Limited,INE570D01018,UNKNOWN
ARSHIYA,Arshiya Limited,INE968D01022,UNKNOWN
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,UNKNOWN
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,UNKNOWN
ARTNIRMAN,Art Nirman Limited,INE738V01013,UNKNOWN
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,UNKNOWN
ARVIND,Arvind Limited,INE034A01011,UNKNOWN
ARVINDFASN,Arvind Fashions Limited,INE955V01021,UNKNOWN
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,UNKNOWN
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,UNKNOWN
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,UNKNOWN
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,UNKNOWN
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,UNKNOWN
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,UNKNOWN
ASHIANA,Ashiana Housing Limited,INE365D01021,UNKNOWN
ASHIMASYN,Ashima Limited,INE440A01010,UNKNOWN
ASHOKA,Ashoka Buildcon Limited,INE442H01029,UNKNOWN
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,UNKNOWN
ASHOKLEY,Ashok Leyland Limited,INE208A01029,UNKNOWN
ASIANENE,Asian Energy Services Limited,INE276G01015,UNKNOWN
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,UNKNOWN
ASIANPAINT,Asian Paints Limited,INE021A01026,UNKNOWN
ASIANTILES,Asian Granito India Limited,INE022I01019,UNKNOWN
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,UNKNOWN
ASMS,Bartronics India Limited,INE855F01042,UNKNOWN
ASPINWALL,Aspinwall and Company Limited,INE991I01015,UNKNOWN
ASTEC,Astec LifeSciences Limited,INE563J01010,UNKNOWN
ASTERDM,Aster DM Healthcare Limited,INE914M01019,UNKNOWN
ASTRAL,Astral Limited,INE006I01046,UNKNOWN
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,UNKNOWN
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,UNKNOWN
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,UNKNOWN
ATALREAL,Atal Realtech Limited,INE0ALR01029,UNKNOWN
ATAM,Atam Valves Limited,INE09KD01013,UNKNOWN
ATGL,Adani Total Gas Limited,INE399L01023,UNKNOWN
ATHERENERG,Ather Energy Limited,INE0LEZ01016,UNKNOWN
ATL,Allcargo Terminals Limited,INE0NN701020,UNKNOWN
ATLANTAA,ATLANTAA LIMITED,INE285H01022,UNKNOWN
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,UNKNOWN
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,UNKNOWN
ATUL,Atul Limited,INE100A01010,UNKNOWN
ATULAUTO,Atul Auto Limited,INE951D01028,UNKNOWN
AUBANK,AU Small Finance Bank Limited,INE949L01017,UNKNOWN
AURIGROW,Auri Grow India Limited,INE925Y01036,UNKNOWN
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,UNKNOWN
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,UNKNOWN
AURUM,Aurum PropTech Limited,INE898S01029,UNKNOWN
AUSOMENT,Ausom Enterprise Limited,INE218C01016,UNKNOWN
AUTOAXLES,Automotive Axles Limited,INE449A01011,UNKNOWN
AUTOIND,Autoline Industries Limited,INE718H01014,UNKNOWN
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,UNKNOWN
