symbol,sector,computed_time
CUPID,Unknown,2026-02-19 07:56:16.836513
CYBERMEDIA,Unknown,2026-02-19 07:56:16.836550
CYBERTECH,IT,2026-02-19 07:56:16.836587
CYIENT,Unknown,2026-02-19 07:56:16.836624
CYIENTDLM,Unknown,2026-02-19 07:56:16.836661
DABUR,Unknown,2026-02-19 07:56:16.836698
DALBHARAT,Unknown,2026-02-19 07:56:16.836735
DALMIASUG,Unknown,2026-02-19 07:56:16.836779
DAMCAPITAL,Unknown,2026-02-19 07:56:16.836821
DAMODARIND,Unknown,2026-02-19 07:56:16.836858
DANGEE,Unknown,2026-02-19 07:56:16.836896
DATAMATICS,Unknown,2026-02-19 07:56:16.836933
DATAPATTNS,Unknown,2026-02-19 07:56:16.836971
DAVANGERE,Unknown,2026-02-19 07:56:16.837009
DBCORP,Unknown,2026-02-19 07:56:16.837046
DBEIL,Unknown,2026-02-19 07:56:16.837084
DBL,Unknown,2026-02-19 07:56:16.837122
DBOL,Pharma,2026-02-19 07:56:16.837160
DBREALTY,Unknown,2026-02-19 07:56:16.837197
DBSTOCKBRO,Unknown,2026-02-19 07:56:16.837273
DCAL,Unknown,2026-02-19 07:56:16.837314
DCBBANK,Finance,2026-02-19 07:56:16.837351
DCI,IT,2026-02-19 07:56:16.837395
DCM,Unknown,2026-02-19 07:56:16.837435
DCMFINSERV,Unknown,2026-02-19 07:56:16.837481
DCMNVL,Unknown,2026-02-19 07:56:16.837521
DCMSHRIRAM,Unknown,2026-02-19 07:56:16.837559
DCMSRIND,Unknown,2026-02-19 07:56:16.837596
DCW,Unknown,2026-02-19 07:56:16.837634
DCXINDIA,Unknown,2026-02-19 07:56:16.837671
DDEVPLSTIK,Unknown,2026-02-19 07:56:16.837713
DECCANCE,Cement,2026-02-19 07:56:16.837752
DEEDEV,Unknown,2026-02-19 07:56:16.837790
DEEPAKFERT,Unknown,2026-02-19 07:56:16.837828
DEEPAKNTR,Unknown,2026-02-19 07:56:16.837865
DEEPINDS,Unknown,2026-02-19 07:56:16.837903
