symbol,company_name,series,date of listing,paid up value,market lot,isin number,face value,ingestion_time
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,2026-02-18 17:27:57.692675
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,2026-02-18 17:27:57.692675
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,2026-02-18 17:27:57.692675
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1,1,INE713T01028,1,2026-02-18 17:27:57.692675
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,2026-02-18 17:27:57.692675
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,2026-02-18 17:27:57.692675
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,2026-02-18 17:27:57.692675
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5,2026-02-18 17:27:57.692675
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10,2026-02-18 17:27:57.692675
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2,2026-02-18 17:27:57.692675
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,2026-02-18 17:27:57.692675
ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2,2026-02-18 17:27:57.692675
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,2026-02-18 17:27:57.692675
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10,2026-02-18 17:27:57.692675
ARFIN,Arfin India Limited,EQ,22-JUL-2025,1,1,INE784R01023,1,2026-02-18 17:27:57.692675
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,2026-02-18 17:27:57.692675
